experiment,type,N,empathy_alpha,steps,time_to_coop_threshold
pd_N2,matrix,2,1.0,5000,
pd_N2,matrix,2,0.8,5000,
pd_N2,matrix,2,0.5,5000,353
pd_N2,matrix,2,0.2,5000,353
pd_N4,matrix,4,1.0,5000,
pd_N4,matrix,4,0.8,5000,
pd_N4,matrix,4,0.5,5000,
pd_N4,matrix,4,0.2,5000,
sh_N4,matrix,4,1.0,5000,
sh_N4,matrix,4,0.8,5000,
sh_N4,matrix,4,0.5,5000,
sh_N4,matrix,4,0.2,5000,3938
rs_N4,resource,4,1.0,5000,127
rs_N4,resource,4,0.8,5000,126
rs_N4,resource,4,0.5,5000,126
rs_N4,resource,4,0.2,5000,126
